#I[A]	g[T/m]	B[T]
#0.000	0.091	0.001
1.000	6.932	0.076
2.000	14.045	0.154
3.000	20.295	0.223
4.000	26.636	0.293
5.000	30.795	0.339
6.000	31.841	0.350
