#I[A]	g[T/m]	B[T]
#0.000	0.091	0.001
1.000	7.182	0.079
2.000	14.000	0.154
3.000	20.909	0.230
4.000	25.159	0.277
5.000	28.977	0.319
6.000	31.250	0.344
