1.0 7.346 0.009 16.321 0.003
2.0 14.329 0.012 16.322 0.002
3.0 21.173 0.012 16.322 0.002
4.0 26.401 0.017 16.328 0.002
5.0 29.173 0.017 16.328 0.002
